"Data","Open","Close","High","Low","log_return"
"2020-08-26",6.4997141191,6.3399318581,6.5339531751,6.2885732742,-0.0288332238224816
"2020-08-27",6.3684644047,6.3199590755,6.4112632246,6.2885732742,-0.00315528771539014
"2020-08-28",6.3484916221,6.4312360073,6.4312360073,6.2942797835,0.0174540121199592
"2020-08-31",6.3684644047,6.2457744543,6.399850206,6.2457744543,-0.0292615970759707
"2020-09-01",6.3342253488,6.5253934111,6.5310999204,6.3113993115,0.0437960964938833
"2020-09-02",6.5425129391,6.5054206285,6.5910182683,6.4255294979,-0.00306547206948895
"2020-09-03",6.4512087899,6.5282466658,6.5967247776,6.4397957712,0.00350263055227722
"2020-09-04",6.5624857217,6.5396596844,6.5710454857,6.4426490259,0.0017467253278306
"2020-09-08",6.4198229886,6.3513448767,6.4198229886,6.2514809636,-0.0292185460044982
"2020-09-09",6.416969734,6.4854478458,6.4968608645,6.416969734,0.0208942920178637
"2020-09-10",6.4426490259,6.3113993115,6.4426490259,6.3085460568,-0.027203461201263
"2020-09-11",6.3113993115,6.2429211996,6.3513448767,6.205828889,-0.0109091991037426
"2020-09-14",6.2600407276,6.1858561064,6.2714537462,6.1145247398,-0.00918280097713345
"2020-09-15",6.2714537462,6.1830028517,6.2999862928,6.1487637958,-0.000461361029384533
"2020-09-16",6.2343614356,6.2001223797,6.2743070009,6.1630300691,0.0027649787249679
"2020-09-17",6.1373507771,6.3199590755,6.3256655848,6.1230845038,0.0191437022246996
"2020-09-18",6.2743070009,6.1772963424,6.3199590755,6.1487637958,-0.0228320420456788
"2020-09-21",6.0745791746,5.9633022428,6.1230845038,5.9376229508,-0.0352562954741705
"2020-09-22",5.9804217707,5.9347696961,6.0916987025,5.9205034228,-0.00479617227760177
"2020-09-23",5.9347696961,5.7721341804,5.9804217707,5.7635744165,-0.0277863355258107
"2020-09-24",5.7749874351,5.8206395097,5.9090904042,5.7236288512,0.00836824967961214
"2020-09-25",5.7493081431,5.7436016338,5.7806939444,5.6694170126,-0.0133236612047948
"2020-09-28",5.800666727,5.6009389007,5.8662915843,5.6009389007,-0.0251522313669048
"2020-09-29",5.6009389007,5.5096347516,5.6665637579,5.4925152236,-0.0164359118350854
