"Data","Open","Close","High","Low"
1986-09-03,7.3571611219e-10,7.2365515618e-10,7.4375269182e-10,7.2365515618e-10
1986-09-04,7.035536427e-10,6.9953334001e-10,7.2365515618e-10,6.9953334001e-10
1986-09-05,7.035536427e-10,6.9953334001e-10,7.1963485348e-10,6.8345212922e-10
1986-09-08,6.9953334001e-10,6.7139117321e-10,6.9953334001e-10,6.5933026512e-10
1986-09-09,6.6335056782e-10,6.4324905434e-10,6.6737087052e-10,6.2917799491e-10
1986-09-10,6.3520844895e-10,6.7139117321e-10,6.7139117321e-10,6.3520844895e-10
1986-09-11,6.5933026512e-10,6.8345212922e-10,6.8345212922e-10,6.5933026512e-10
1986-09-12,6.8345212922e-10,7.035536427e-10,7.035536427e-10,6.7541147591e-10
1986-09-15,7.035536427e-10,7.1561455079e-10,7.4375671758e-10,7.035536427e-10
1986-09-16,7.1561455079e-10,7.2365515618e-10,7.2365515618e-10,6.9953334001e-10
1986-09-17,7.2365515618e-10,7.1360439944e-10,7.2365515618e-10,7.035536427e-10
1986-09-18,6.9778260608e-10,6.937257344e-10,7.0995322112e-10,6.81555071e-10
1986-09-19,6.937257344e-10,6.7749819931e-10,6.937257344e-10,6.6532758427e-10
1986-09-22,6.4910009755e-10,6.369335449e-10,6.4910009755e-10,6.3287256247e-10
1986-09-23,6.3692948251e-10,6.2881569079e-10,6.4909603517e-10,6.2070194743e-10
1986-09-24,6.1664507575e-10,5.8013318226e-10,6.4098229181e-10,5.2739380206e-10
1986-09-25,5.5984882386e-10,5.3956446546e-10,5.5984882386e-10,4.8682508525e-10
1986-09-26,5.3956446546e-10,6.0041758903e-10,6.0041758903e-10,5.3956446546e-10
1986-09-29,6.0853133239e-10,5.2739380206e-10,6.2881569079e-10,5.2739380206e-10
1986-09-30,5.2739380206e-10,5.4767820882e-10,5.5944311735e-10,5.0305257198e-10
1986-10-01,5.4767820882e-10,5.9230384567e-10,6.0853133239e-10,5.4767820882e-10
1986-10-02,6.0853133239e-10,5.8824697399e-10,6.1664507575e-10,5.6796256722e-10
1986-10-03,5.7607631058e-10,5.5984882386e-10,5.8824697399e-10,5.3550759378e-10
1986-10-06,5.5984882386e-10,5.3550759378e-10,5.6796256722e-10,5.3145473612e-10
1986-10-07,5.3550759378e-10,5.3550759378e-10,5.3956446546e-10,5.1522318702e-10
1986-10-08,5.294222379e-10,5.2739786444e-10,5.6796256722e-10,5.2739380206e-10
1986-10-09,5.2739380206e-10,5.3956446546e-10,5.5579195218e-10,5.2739380206e-10
1986-10-10,5.4767820882e-10,5.0305257198e-10,5.5984882386e-10,4.989957003e-10
1986-10-13,4.989957003e-10,4.9493882862e-10,4.989957003e-10,4.5842693513e-10
1986-10-14,4.9493882862e-10,4.7871129353e-10,5.0508100782e-10,4.6654067849e-10
1986-10-15,4.9493882862e-10,4.8682508525e-10,4.989957003e-10,4.6248380681e-10
1986-10-16,4.9088195694e-10,4.8682914764e-10,4.9493882862e-10,4.6654067849e-10
1986-10-17,4.9088195694e-10,4.8682508525e-10,5.1522318702e-10,4.8641937874e-10
1986-10-20,4.8276821357e-10,4.8682508525e-10,4.9088195694e-10,4.7465442185e-10
1986-10-21,4.8682508525e-10,4.9493882862e-10,4.989957003e-10,4.7871129353e-10
1986-10-22,4.9493882862e-10,5.4767820882e-10,5.517350805e-10,4.9493882862e-10
1986-10-23,5.517350805e-10,5.720194389e-10,5.720194389e-10,5.192800587e-10
1986-10-24,5.6796662961e-10,5.8824697399e-10,6.0447446071e-10,5.6796662961e-10
1986-10-27,5.8824697399e-10,6.0447446071e-10,6.0853539477e-10,5.8824697399e-10
1986-10-28,6.0852727e-10,5.8825103637e-10,6.0853133239e-10,5.6390569554e-10
1986-10-29,5.9636071735e-10,5.720194389e-10,6.0853133239e-10,5.6796256722e-10
1986-10-30,5.7810474642e-10,5.7810474642e-10,5.8824697399e-10,5.5579195218e-10
1986-10-31,5.8013318226e-10,5.6593413138e-10,6.0041758903e-10,5.5984882386e-10
1986-11-03,5.6390569554e-10,5.4767820882e-10,5.6796256722e-10,5.4362133714e-10
1986-11-04,5.2739380206e-10,5.4564977298e-10,5.5984882386e-10,5.2739380206e-10
1986-11-05,5.517350805e-10,5.3956446546e-10,5.6390569554e-10,5.3347915794e-10
1986-11-06,5.2739380206e-10,5.415929013e-10,5.4362133714e-10,5.192800587e-10
1986-11-07,5.3145067374e-10,5.3956446546e-10,5.3956446546e-10,5.2536536622e-10
1986-11-10,5.3347915794e-10,5.6796256722e-10,5.720194389e-10,5.3347915794e-10
1986-11-11,5.6471706021e-10,5.6796256722e-10,5.9230384567e-10,5.6431140206e-10
1986-11-12,5.6796256722e-10,5.8824697399e-10,5.9433228151e-10,5.6796256722e-10
1986-11-13,6.0853133239e-10,5.9636071735e-10,6.0853133239e-10,5.8824697399e-10
1986-11-14,5.9636071735e-10,5.9230384567e-10,6.0041758903e-10,5.8013318226e-10
1986-11-17,5.8013318226e-10,5.6390569554e-10,5.9230384567e-10,5.5579195218e-10
1986-11-18,5.4362133714e-10,5.618772597e-10,5.6390569554e-10,5.3145067374e-10
1986-11-19,5.5984882386e-10,5.5376351634e-10,5.6795850484e-10,5.3551165617e-10
1986-11-20,5.517350805e-10,5.4767820882e-10,5.6390569554e-10,5.3956446546e-10
1986-11-21,5.4767820882e-10,5.517350805e-10,5.5579195218e-10,5.2739380206e-10
1986-11-24,5.3956446546e-10,5.2333693038e-10,5.4767820882e-10,5.192800587e-10
1986-11-25,5.2739380206e-10,4.9088195694e-10,5.3956446546e-10,4.5802122862e-10
1986-11-26,4.9493882862e-10,4.3408570505e-10,4.9493882862e-10,4.2597191333e-10
1986-11-27,4.3814257673e-10,4.5031319177e-10,4.5437006345e-10,4.2191504165e-10
1986-11-28,4.4625632009e-10,4.2394347749e-10,4.4625632009e-10,4.0568755493e-10
1986-12-01,4.0568755493e-10,3.7728942898e-10,4.0569161731e-10,3.6511878976e-10
1986-12-02,3.7728942898e-10,3.8540317234e-10,4.0162662086e-10,3.732325573e-10
1986-12-03,3.8540317234e-10,3.7728942898e-10,4.0568755493e-10,3.732325573e-10
1986-12-04,3.8134630066e-10,3.8540317234e-10,4.0568755493e-10,3.6917568562e-10
1986-12-05,3.8946004402e-10,3.5497661056e-10,3.9757381156e-10,3.5497661056e-10
1986-12-08,3.5497661056e-10,3.4483443136e-10,3.5497661056e-10,3.1643628123e-10
1986-12-09,3.6511878976e-10,3.1440784539e-10,3.6511878976e-10,3.1440784539e-10
1986-12-10,3.0426566619e-10,2.9412348699e-10,3.1237940955e-10,2.8398128361e-10
1986-12-11,2.9615192283e-10,3.0426566619e-10,3.0832253787e-10,2.9209505115e-10
1986-12-12,3.0832253787e-10,3.2455004878e-10,3.3266379214e-10,3.0426566619e-10
1986-12-15,3.1237940955e-10,3.570050464e-10,3.5903348224e-10,3.1237940955e-10
1986-12-16,3.6998705029e-10,3.732325573e-10,3.7728942898e-10,3.4483443136e-10
1986-12-17,3.7728942898e-10,4.6045537097e-10,4.6045537097e-10,3.732325573e-10
1986-12-18,4.4219944841e-10,4.0974442661e-10,4.7262598601e-10,4.0568755493e-10
1986-12-19,3.9757381156e-10,3.8134630066e-10,4.2191504165e-10,3.7282687497e-10
1986-12-22,3.6917568562e-10,3.5294817472e-10,3.8134630066e-10,3.2455411116e-10
1986-12-23,3.570050464e-10,3.6917568562e-10,4.0568349254e-10,3.407775355e-10
1986-12-26,3.8134630066e-10,3.833747365e-10,4.0163068324e-10,3.7728942898e-10
1986-12-29,3.8540317234e-10,3.732325573e-10,3.9757381156e-10,3.671472256e-10
1986-12-30,3.732325573e-10,3.6917568562e-10,3.732325573e-10,3.4483443136e-10
1987-01-02,3.570050464e-10,3.8134630066e-10,3.8540317234e-10,3.468628672e-10
1987-01-05,3.732325573e-10,3.407775355e-10,3.732325573e-10,3.367247262e-10
1987-01-06,3.3266379214e-10,3.367247262e-10,3.4483443136e-10,3.2455004878e-10
1987-01-07,3.4483443136e-10,3.3266785452e-10,3.570050464e-10,3.3266379214e-10
1987-01-08,3.3266379214e-10,3.2860692046e-10,3.3672066382e-10,3.1440784539e-10
1987-01-09,3.3672066382e-10,3.2454598639e-10,3.3672066382e-10,3.1238347194e-10
1987-01-12,3.2455004878e-10,3.1441190778e-10,3.2455004878e-10,3.0832660026e-10
1987-01-13,3.0832253787e-10,2.9209505115e-10,3.0832660026e-10,2.8803815529e-10
1987-01-14,2.9615192283e-10,3.0832253787e-10,3.1643628123e-10,2.8803815529e-10
1987-01-15,2.9615192283e-10,3.0426566619e-10,3.0831847549e-10,2.9006659113e-10
1987-01-16,3.0426566619e-10,3.204931771e-10,3.2455004878e-10,3.0426566619e-10
1987-01-19,3.2455004878e-10,3.1846474126e-10,3.3469222798e-10,3.1643628123e-10
1987-01-20,3.1846474126e-10,3.1035097371e-10,3.2454598639e-10,3.0020879451e-10
1987-01-21,3.1237940955e-10,3.1237940955e-10,3.1643628123e-10,3.0426972858e-10
1987-01-22,3.1846474126e-10,3.4280599552e-10,3.468628672e-10,3.1237940955e-10
1987-01-23,3.4280599552e-10,3.6511878976e-10,3.732325573e-10,3.2860692046e-10
1987-01-26,3.4889130304e-10,3.407775355e-10,3.5294817472e-10,3.3672066382e-10
1987-01-27,3.3266379214e-10,3.4078159788e-10,3.4889130304e-10,3.2455004878e-10
1987-01-28,3.5294817472e-10,3.3266379214e-10,3.6106191808e-10,3.3266379214e-10
1987-01-29,3.3469222798e-10,3.2455004878e-10,3.3469222798e-10,3.1643628123e-10
1987-01-30,3.2941828512e-10,3.3266379214e-10,3.407775355e-10,3.2455004878e-10
1987-02-02,3.3469222798e-10,3.1440784539e-10,3.3469222798e-10,3.0629410203e-10
1987-02-03,3.1440784539e-10,3.0020879451e-10,3.2455004878e-10,2.8398128361e-10
1987-02-04,3.0020879451e-10,2.9006659113e-10,3.1237940955e-10,2.884438618e-10
1987-02-05,2.9209505115e-10,3.0426160381e-10,3.0426972858e-10,2.9006659113e-10
1987-02-06,3.0426566619e-10,3.1643628123e-10,3.1846474126e-10,3.0020879451e-10
1987-02-09,2.9615192283e-10,2.7789597609e-10,3.0426566619e-10,2.7586754025e-10
1987-02-10,2.6369690103e-10,2.8398128361e-10,2.8398128361e-10,2.5152628599e-10
1987-02-11,2.9615192283e-10,3.0020879451e-10,3.0832253787e-10,2.8600971945e-10
1987-02-12,2.9615192283e-10,2.7586754025e-10,3.0426566619e-10,2.7383910441e-10
1987-02-13,2.8398128361e-10,2.8398128361e-10,2.8884954414e-10,2.7181066857e-10
1987-02-16,2.9250073348e-10,2.5964002935e-10,2.9615192283e-10,2.4341254263e-10
1987-02-17,2.5964002935e-10,2.5964002935e-10,2.6775379689e-10,2.4746941431e-10
1987-02-18,2.5152628599e-10,2.4341254263e-10,2.6369690103e-10,2.3124190341e-10
1987-02-19,2.2312816005e-10,2.1907128836e-10,2.2313222243e-10,2.0284783985e-10
1987-02-20,2.0974047383e-10,2.150143925e-10,2.2312816005e-10,1.8255939488e-10
1987-02-23,2.1501845489e-10,2.1907128836e-10,2.3529877509e-10,2.1095752082e-10
1987-02-24,2.1907128836e-10,2.2718503173e-10,2.3529877509e-10,2.1907128836e-10
1987-02-25,2.2718503173e-10,2.0690064914e-10,2.3124190341e-10,2.0284377746e-10
