,Residuals_LSTM
333,6.2241045998614215
334,49.86637002719346
335,-28.461241169620916
336,34.544990403983306
337,80.04074524964832
338,109.69724350068343
339,-101.86496572170104
340,26.855911429599104
341,-24.152310468737795
342,1.6804100224370606
343,-23.91172768355484
344,-43.73938594205425
345,-5.252978309165652
346,-60.53998413572581
347,-40.34644567612
348,-110.84472659415083
349,26.57412052765523
350,0.4738905248762672
351,14.251190145457544
352,31.610602822468916
353,24.838756649251703
354,22.35768688398266
355,64.73216577247311
356,-12.161521894315667
357,11.960384692086787
358,-23.668222647525216
359,-23.897154975426826
360,-139.03298801750972
361,-45.46339607138848
362,50.549886345484126
363,65.18596156872249
364,-11.010960897544694
365,10.37281637458016
366,18.04032032279184
367,15.998873755076318
368,30.036673490405242
369,-5.331072221891521
370,-48.71291111783603
371,121.07502497963188
372,-47.0837726299537
373,73.52296234536958
374,55.13138262903325
375,44.61110490440274
376,-21.048861371969203
377,35.48065208899856
378,-76.12098698023732
379,-54.25394808018147
380,10.49962820569389
381,25.45312627017209
382,-29.627824848674503
383,-92.0510906038588
384,16.70741810659606
385,63.45746996237459
386,-12.700144149458625
387,32.900531934626926
388,-9.900146709839145
389,65.06406980881937
390,7.398548687331623
391,-9.486403143811046
392,3.8213886671816875
393,10.607150443513785
394,-44.47264255734887
395,-74.25204321883604
396,82.9648359508625
397,-71.73447765516099
398,20.89088291706526
399,-112.87832235163744
400,6.616698079916579
401,-68.39626667531392
402,93.79589859614657
403,25.5666254765865
404,-85.52970254816582
405,27.627799189739182
406,-9.726251968982037
407,-30.46657163553322
408,-74.65044467388762
409,-37.67312644699848
410,-36.09215280597702
411,-6.40092155360672
412,21.126463820448034
413,-55.481686256101824
414,42.09290594977468
415,-7.05493738620146
416,-56.60067382210237
417,-1.0158115493599371
418,38.92505168968926
419,45.852439760895386
420,37.95670708669779
421,9.233346623602507
422,-70.40352937190654
423,135.8571287830695
424,-32.1731870307818
425,12.065098956493737
426,-54.503227262201534
427,71.32284024342735
428,167.5478885046954
429,29.665505207174757
430,27.168539890819158
431,38.38949176524285
432,57.75120484044983
433,94.81082527356865
434,-125.97377389051711
435,22.445973381715316
436,60.911880241485015
437,-13.677235308998275
438,-40.54770124946036
439,-71.75493142898546
440,52.263522710159236
441,-116.27714820667741
442,-8.249998391943308
443,35.28907647059783
444,100.27088210548978
445,55.63608035504726
446,9.536231312041258
447,-7.1398118495410685
448,104.88471721704022
449,101.2852090056262
450,-73.62503480744797
451,75.66748723920568
452,-80.30908494378419
453,17.409031046703436
454,12.171515206516
455,-34.04278726765869
456,69.47800945617205
457,46.33979445599842
458,-23.75108991908451
459,40.276590736011975
460,-12.879022646771036
461,-34.29174081981665
462,-29.03029979662917
463,88.06483600496146
464,24.461852860252606
465,32.84449470433284
466,68.1974890890051
467,105.10142910069983
468,185.44719082279215
469,71.23944210194865
470,-7.763420210724901
471,164.61180799875564
472,-100.75759704176983
473,31.5344055849621
474,91.22037164667726
475,17.10160356532473
476,140.36576479800542
477,-44.6601622390992
478,-122.60208084838348
479,56.722571232620176
480,-20.36928859602921
481,22.966168306924278
482,11.123697065947194
483,-120.72998720230795
484,35.94679628627167
485,4.486804596189145
486,-2.760886241418945
487,-33.361267096148424
488,-10.687605995743468
489,3.6434298262343154
490,-32.13366662251471
491,1.6986388337381384
492,41.98150186529446
493,-58.45041183205414
494,-6.051896864154059
495,-16.45452639481846
496,28.17471970935471
497,3.461032545834448
498,65.52750465587154
499,81.21971549449147
500,94.91196390614222
501,0.0
502,-233.48054843984374
503,44.877828444122315
504,159.57477510862836
505,-64.99308517013723
506,-8.276696967677509
507,45.95129760403181
508,-110.38778981998925
509,20.6386813864372
510,3.1503674051027137
511,25.14508835493861
512,18.255393654656235
513,-7.630767476972164
514,8.581884029062893
515,23.84712587511531
516,73.98500070486146
517,-11.182805565864895
518,8.725345600484786
519,-24.26733802579054
520,51.68781328564812
521,186.64182583329762
522,-6.371862236524659
523,-27.387546494550726
524,42.35427326077959
525,8.002337438899996
526,25.701613193203777
527,-82.72552391162942
528,76.39676446516297
529,-39.20912296907385
530,117.76437622344794
531,16.926782285296486
532,-13.372520792274548
533,-3.2534383707202683
534,17.177590711769426
