"Date","Returns","garch_sigma","msgarch_sigma","gas_sigma"
2019-02-18,0.0610854703085462,0,0,0
2019-02-19,0.00235448248049686,0,0,0
2019-02-20,0.0157286045601737,0,0,0
2019-02-21,-0.00820285235134044,0,0,0
2019-02-22,0.0062511992571217,0,0,0
2019-02-23,0.0385603779120558,0,0,0
2019-02-24,-0.0952722958467689,0,0,0
2019-02-25,0.0222845443890929,0,0,0
2019-02-26,-0.00489450575456729,0,0,0
2019-02-27,0.00231799036570557,0,0,0
2019-02-28,-0.00114783496359827,0,0,0
2019-03-01,0.0024382303359971,0,0,0
2019-03-02,-0.00080335687101929,0,0,0
2019-03-03,-0.00319363432978115,0,0,0
2019-03-04,-0.0245790349029473,0,0,0
2019-03-05,0.037619498976083,0,0,0
2019-03-06,0.00106482625025528,0,0,0
2019-03-07,0.00305087962291495,0,0,0
2019-03-08,-0.00226141236874255,0,0,0
2019-03-09,0.0200187783129753,0,0,0
2019-03-10,-0.00667189931208512,0,0,0
2019-03-11,-0.0116096588910111,0,0,0
2019-03-12,0.00286807326545357,0,0,0
2019-03-13,-0.00431813368023271,0,0,0
2019-03-14,0.00287222919048702,0,0,0
2019-03-15,0.0119577677765044,0,0,0
2019-03-16,0.0207378669667992,0,0,0
2019-03-17,-0.0062200342766392,0,0,0
2019-03-18,0.0016739975925546,0,0,0
2019-03-19,0.00692713563230818,0,0,0
2019-03-20,0.00682754058487234,0,0,0
2019-03-21,-0.0155542738641596,0,0,0
2019-03-22,0.00157890079577783,0,0,0
2019-03-23,0.00477422231148417,0,0,0
2019-03-24,-0.00345828588308095,0,0,0
2019-03-25,-0.014141981082906,0,0,0
2019-03-26,0.00315295638177737,0,0,0
2019-03-27,0.0224134792695754,0,0,0
2019-03-28,-0.00253909824902898,0,0,0
2019-03-29,0.0185565386974424,0,0,0
2019-03-30,0.000906187715935758,0,0,0
2019-03-31,-0.000735605787458127,0,0,0
2019-04-01,0.00984670640400154,0,0,0
2019-04-02,0.158684038257251,0,0,0
2019-04-03,0.0153855631843687,0,0,0
2019-04-04,-0.00690453407475111,0,0,0
2019-04-05,0.0214657243780376,0,0,0
2019-04-06,0.00775018706876196,0,0,0
2019-04-07,0.0247473017520115,0,0,0
2019-04-08,0.0128048086853134,0,0,0
2019-04-09,-0.0167330055377342,0,0,0
2019-04-10,0.0302654994041216,0,0,0
2019-04-11,-0.0563563220444525,0,0,0
2019-04-12,0.00608821418420291,0,0,0
2019-04-13,-0.000552845832515914,0,0,0
2019-04-14,0.0169177779984988,0,0,0
2019-04-15,-0.0209435347386204,0,0,0
2019-04-16,0.0291764619150605,0,0,0
2019-04-17,0.00560882072207392,0,0,0
2019-04-18,0.0106336185308997,0,0,0
2019-04-19,4.56398709989259e-05,0,0,0
2019-04-20,0.00626517985704744,0,0,0
2019-04-21,-0.00674830749012223,0,0,0
2019-04-22,0.0190333335347379,0,0,0
2019-04-23,0.0251007376438039,0,0,0
2019-04-24,-0.0143581077784258,0,0,0
