"Date","Return","Vol_GARCH","Vol_MSGARCH","Vol_GAS","VaR_GARCH_1","VaR_MSGARCH_1","VaR_GAS_1","ES_GARCH_1","ES_MSGARCH_1","ES_GAS_1","VaR_GARCH_2_5","VaR_MSGARCH_2_5","VaR_GAS_2_5","ES_GARCH_2_5","ES_MSGARCH_2_5","ES_GAS_2_5","VaR_GARCH_5","VaR_MSGARCH_5","VaR_GAS_5","ES_GARCH_5","ES_MSGARCH_5","ES_GAS_5","Parkinson"
2017-08-03,-0.0149145195492609,0.0221353373864079,0.0221183701019615,0.0222875263804428,-0.0572140083999391,-0.055354019313703,-0.0570364599042074,-0.0807974366536186,-0.0792858696900411,-0.0807974366536186,-0.0420294118991416,-0.0414778018424522,-0.0435641902278669,-0.0626792650781699,-0.0619120717504325,-0.06387199516896,-0.0352987741131684,-0.035820269392996,-0.0366826025936014,-0.0548766711250886,-0.0555130966363136,-0.0564483513823305,0.000242995089996547
2017-08-04,0.00673907455111502,0.0218353316577491,0.0218306019778279,0.021490673390968,-0.0564693036884497,-0.054612010036774,-0.0550022937356066,-0.0802882529436125,-0.0783309372775307,-0.0792858696900411,-0.0414899497120442,-0.0409276892014108,-0.0420151860042593,-0.0619120717504325,-0.060841790062267,-0.0626792650781699,-0.0348338436101051,-0.0353596176571135,-0.0353790324715789,-0.0545047810235487,-0.0550021595335614,-0.0550021595335614,9.7659994311906e-05
2017-08-07,0.011131840370923,0.0212614332262876,0.0213396906988513,0.0200353750571099,-0.0550453755940179,-0.0533774716034973,-0.0512912311661015,-0.0792858696900411,-0.0769683808649383,-0.0734337514884077,-0.0404426958931215,-0.040021294440056,-0.0391859356001622,-0.0605006666107982,-0.0596746484469217,-0.05873916706033,-0.0339529597921372,-0.0345717092286225,-0.0329989774979582,-0.0537784680063914,-0.0543821260219175,-0.0529571122315999,0.000167065402751925
2017-08-08,-0.00443787710687144,0.0208658488217132,0.0211186110423356,0.0191699697876499,-0.054063069836115,-0.0528219425728818,-0.0490682671393096,-0.0778675199785261,-0.0761117430945602,-0.0705827859842511,-0.039715588473286,-0.0396009196499817,-0.0374960959079325,-0.0596746484469217,-0.0591984484855362,-0.0570030088609625,-0.0333482878663331,-0.0342116573144977,-0.0315749698055449,-0.053188544396421,-0.0538984262797923,-0.0515167008473487,0.000103540753523584
2017-08-09,0.00222140039556746,0.0202828411158271,0.0207444727622999,0.0178861012085118,-0.0522838113494245,-0.0519279618317507,-0.0458000435274019,-0.0757000236275712,-0.0741509087679493,-0.065778019193624,-0.0386412695307148,-0.0388927262406379,-0.0350015873177141,-0.0582902461421863,-0.0584389331023859,-0.0545047810235487,-0.0324530695222238,-0.0336067728591775,-0.0294769283806825,-0.052389356312354,-0.0534215184359662,-0.0495657500235286,5.69835208245761e-05
2017-08-10,-0.024711103890251,0.0197018609217151,0.0204108807072502,0.0160573232068849,-0.0502563192272613,-0.0510836598680004,-0.0416852288961479,-0.0711772529237478,-0.0724223868758114,-0.0624837290316387,-0.0375491384381442,-0.0383027418753243,-0.0304975492676685,-0.057142332511031,-0.0579942621380383,-0.0505664206563079,-0.0315569922897589,-0.0330715761602334,-0.0266720454386347,-0.0515167008473487,-0.0530727881033128,-0.0463250351243318,0.000522186992897873
2017-08-11,-0.0183631785872119,0.0203260752573617,0.0212680494131234,0.0192987993558452,-0.0517682461611755,-0.0532538316705385,-0.0494520767967796,-0.0741509087679493,-0.0769683808649383,-0.0705827859842511,-0.038736442818838,-0.0398750214359712,-0.0377647388353538,-0.0582902461421863,-0.0596746484469217,-0.057142332511031,-0.0325290124515847,-0.0344548656578748,-0.0318044690491783,-0.052389356312354,-0.0541382974419048,-0.0518417007267746,0.000142737705962548
2017-08-14,0.0099885578758184,0.0203574823568074,0.021383042943082,0.0196203415270577,-0.0511531858172528,-0.0535536983331844,-0.0502952827338727,-0.0727503311211352,-0.0774105116768985,-0.0711772529237478,-0.0388203998565153,-0.0401286985589013,-0.0383958308387887,-0.0584389331023859,-0.0599988526986958,-0.0579942621380383,-0.0325963543787288,-0.034644684056638,-0.0323377984398223,-0.0526146237380828,-0.0543821260219175,-0.0519497856247127,0.000203076589135097
2017-08-15,0.00533741261493101,0.0199761943728015,0.021088370793359,0.018120094950839,-0.0500120308241902,-0.0528247642707453,-0.0471165270210424,-0.0711772529237478,-0.0761117430945602,-0.0673900351385144,-0.038109447109582,-0.0395708473937919,-0.0344214676138276,-0.0574211429969256,-0.0591984484855362,-0.0541382974419048,-0.032003952775569,-0.0341770885178295,-0.0301531117190731,-0.0518417007267746,-0.0538984262797923,-0.0501615621476428,7.535562784906e-05
2017-08-16,-0.00152207031892763,0.0194610200381393,0.0207454833757939,0.016907840199895,-0.0487444225935289,-0.051975649481815,-0.0439843621829809,-0.0694362130083146,-0.0741509087679493,-0.0640733070206465,-0.0371621936690135,-0.0389376351806939,-0.0321386027231313,-0.0568638776636614,-0.0584389331023859,-0.0518417007267746,-0.0312166225774237,-0.0336343739913782,-0.0280834800047412,-0.051409652538281,-0.0535393829467989,-0.0483290431689195,0.000161319554400301
2017-08-17,-0.00611155455681788,0.0189016139229909,0.0204173205085821,0.015673759492818,-0.0473541325940853,-0.0497321272721675,-0.0407987795379897,-0.0673900351385144,-0.0708776635249,-0.060841790062267,-0.0361114920352487,-0.0383290533078463,-0.029814158839683,-0.0560413396168136,-0.0579942621380383,-0.0498616680700015,-0.03036028408861,-0.0331319555949501,-0.0260552990010955,-0.0501615621476428,-0.0530727881033128,-0.0459204644246242,0.000120329039135768
2017-08-18,0.0412816589722406,0.0184296615661473,0.0202036046627032,0.0147852487876493,-0.0461725119828232,-0.0488674385292212,-0.0385133909943314,-0.0662235773521854,-0.0705827859842511,-0.0581415651342588,-0.0352077551027318,-0.0379246883921034,-0.0281426674368104,-0.0548766711250886,-0.0572812732492721,-0.0483290431689195,-0.0296411461272766,-0.0328057148172236,-0.0245968746429053,-0.0497623962117629,-0.0527282428650204,-0.0445075214944191,0.000390108989522176
