"Date","Sigma2_GARCH","Sigma2_GAS","Sigma2_MSGARCH","Parkinson"
2011-07-13,0.00021075818737677,0.000123362459581643,0.000304971348255669,6.39290544154156e-05
2011-07-14,0.000215370184914372,0.000137391213326627,0.000319253467079539,0.000168845134142173
2011-07-15,0.000238326807205542,0.000199142631308963,0.000395683689370107,4.26691619081994e-05
2011-07-18,0.000227708484027874,0.000173799263437428,0.000309008152870244,0.000153746701694006
2011-07-19,0.0002263762152648,0.000170886553879035,0.000300430221606879,0.000116995842791498
2011-07-20,0.000218414560226382,0.000153545019219422,0.000280171211855009,0.000130633024844528
2011-07-21,0.000221764742991219,0.000162693254320343,0.000291503097009736,0.000321714675670871
2011-07-22,0.000281788064295207,0.000325892187736864,0.000678935372688441,0.000119651606551719
2011-07-25,0.000266619939872589,0.000278490684645308,0.000383866595739467,0.000200556558770704
2011-07-26,0.00030142491300903,0.000348292356704629,0.000559935869071759,0.000124322048653746
2011-07-27,0.000288818065038472,0.00030558325215338,0.000369136927357274,8.86943248299499e-05
2011-07-28,0.000273510800331623,0.000262971145997161,0.000290401754284485,5.83328078717427e-05
2011-07-29,0.000260184489474853,0.000228783054547249,0.000264957561244625,9.05266438707986e-05
2011-08-01,0.00024705135660723,0.000197885563297214,0.000252127106620175,7.06130283174623e-05
2011-08-02,0.000235204707597824,0.000172071622653202,0.000244426860340972,0.000192750303743216
2011-08-03,0.000241894459424617,0.000189759220619585,0.00026822352722892,0.000483789421463285
2011-08-04,0.000310915920603328,0.000381457388258699,0.000675991815209627,0.00142572512044248
2011-08-05,0.000819202056473539,0.00227371067244796,0.00187151816054887,0.00136102292103094
2011-08-08,0.000798176945545203,0.00189898497549073,0.00171708456455018,0.00124147456565328
2011-08-09,0.0012927815128707,0.00280383441015921,0.00202349119877917,0.00108542594102122
2011-08-10,0.00124359064421897,0.0023351081455281,0.00187380086007001,0.00104454489020744
2011-08-11,0.00121670361345993,0.00201289960329545,0.00178727474029676,0.0010000592487302
2011-08-12,0.00116372838633105,0.00171050730528724,0.00163637929288881,0.000161762531126167
2011-08-15,0.00106413112111315,0.00137824714476242,0.00128257012780733,0.000226969854246263
2011-08-16,0.00107564890282114,0.00132311425789904,0.00140148848417408,0.000109516837129965
2011-08-17,0.000993045147912903,0.00109397323771166,0.00110666854386823,0.000147776910550765
2011-08-18,0.000910958605175287,0.000898831448497198,0.000832062576836504,0.000322394036972221
2011-08-19,0.000902195982290724,0.000880774320460533,0.000864299078694608,0.000380077781984789
2011-08-22,0.000906273646495853,0.000892950073171975,0.00093582013053001,0.000359554174724113
